datatime,fitted
1959-01-01,
1959-01-02,
1959-01-03,
1959-01-04,
1959-01-05,
1959-01-06,
1959-01-07,
1959-01-08,
1959-01-09,
1959-01-10,
1959-01-11,
1959-01-12,
1959-01-13,
1959-01-14,
1959-01-15,
1959-01-16,
1959-01-17,
1959-01-18,
1959-01-19,
1959-01-20,
1959-01-21,
1959-01-22,
1959-01-23,
1959-01-24,
1959-01-25,
1959-01-26,
1959-01-27,
1959-01-28,
1959-01-29,
1959-01-30,41.54214859
1959-01-31,28.65721893
1959-02-01,29.10061646
1959-02-02,38.72312546
1959-02-03,44.96896362
1959-02-04,42.55039978
1959-02-05,46.15401077
1959-02-06,42.88908386
1959-02-07,46.769180299999995
1959-02-08,38.9592514
1959-02-09,37.89105988
1959-02-10,47.80039597
1959-02-11,41.87734222
1959-02-12,45.62427139
1959-02-13,48.23898315
1959-02-14,41.97656631
1959-02-15,49.34260559
1959-02-16,48.67704773
1959-02-17,44.76787186
1959-02-18,42.745925899999996
1959-02-19,41.29846191
1959-02-20,48.71074295
1959-02-21,41.03676987
1959-02-22,39.81787872
1959-02-23,47.65818024
1959-02-24,46.2780571
1959-02-25,46.27420425
1959-02-26,44.18725204
1959-02-27,40.39902496
1959-02-28,38.80107498
1959-03-01,38.32698822
1959-03-02,32.9590683
1959-03-03,47.23820114
1959-03-04,44.25059509
1959-03-05,44.4152565
1959-03-06,50.12158585
1959-03-07,40.733284000000005
1959-03-08,42.37962723
1959-03-09,39.50058746
1959-03-10,42.9484024
1959-03-11,49.08377075
1959-03-12,45.61746597
1959-03-13,45.66837311
1959-03-14,41.12852478
1959-03-15,40.45740891
1959-03-16,41.37228012
1959-03-17,45.07183456
1959-03-18,47.35256577
1959-03-19,44.74900818
1959-03-20,41.42115402
1959-03-21,43.21407318
1959-03-22,42.86397934
1959-03-23,43.09482574
1959-03-24,44.5355835
1959-03-25,42.62294388
1959-03-26,40.95864868
1959-03-27,48.8578186
1959-03-28,41.03662491
1959-03-29,38.75318909
1959-03-30,48.60426712
1959-03-31,42.58505249
1959-04-01,44.15076065
1959-04-02,44.15279388
1959-04-03,47.80830383
1959-04-04,39.34500122
1959-04-05,42.47133636
1959-04-06,40.18124008
1959-04-07,42.49067688
1959-04-08,46.07127379999999
1959-04-09,42.12778091
1959-04-10,40.15974808
1959-04-11,47.42693329
1959-04-12,40.08385849
1959-04-13,38.42341232
1959-04-14,42.98894882
1959-04-15,42.14822006
1959-04-16,40.881073
1959-04-17,47.35473633
1959-04-18,44.578228
1959-04-19,42.88395691
1959-04-20,43.69440842
1959-04-21,45.48561478
1959-04-22,44.75027466
1959-04-23,47.53805923
1959-04-24,42.49832916
1959-04-25,42.25439072
1959-04-26,40.97921753
1959-04-27,42.85884094
1959-04-28,41.06544113
1959-04-29,46.46617126
1959-04-30,45.73485184
1959-05-01,41.33678818
1959-05-02,44.6020546
1959-05-03,41.83221817
1959-05-04,40.28638458
1959-05-05,45.92341614
1959-05-06,43.442508700000005
1959-05-07,42.59396362
1959-05-08,48.66356277
1959-05-09,42.0990181
1959-05-10,42.99509811
1959-05-11,43.36313629
1959-05-12,42.57161713
1959-05-13,46.45376587
1959-05-14,45.65996552
1959-05-15,42.85406113
1959-05-16,40.30091476
1959-05-17,32.75974846
1959-05-18,41.53234482
1959-05-19,45.36288452
1959-05-20,43.98452759
1959-05-21,49.98928452
1959-05-22,43.70948029
1959-05-23,42.75848007
1959-05-24,47.64126968
1959-05-25,41.73681259
1959-05-26,44.74219894
1959-05-27,43.19231796
1959-05-28,42.19489288
1959-05-29,44.06715775
1959-05-30,41.64442444
1959-05-31,41.00813675
1959-06-01,47.01811218
1959-06-02,43.64793777
1959-06-03,41.86379242
1959-06-04,42.95820618
1959-06-05,48.37822342
1959-06-06,48.66545868
1959-06-07,39.36859131
1959-06-08,40.33269119
1959-06-09,46.1257782
1959-06-10,43.99507904
1959-06-11,48.27978134
1959-06-12,42.22810745
1959-06-13,45.97736359
1959-06-14,42.1725235
1959-06-15,40.94709396
1959-06-16,45.12994003
1959-06-17,45.09151077
1959-06-18,42.31765747
1959-06-19,44.19721985
1959-06-20,48.09543228
1959-06-21,46.74844742
1959-06-22,45.42512131
1959-06-23,45.10342407
1959-06-24,43.54177856
1959-06-25,39.83195114
1959-06-26,45.56623077
1959-06-27,47.01885986
1959-06-28,43.76084518
1959-06-29,42.91513443
1959-06-30,46.03623581
1959-07-01,44.30685425
1959-07-02,45.35126114
1959-07-03,43.41360474
1959-07-04,44.02082825
1959-07-05,43.67357635
1959-07-06,42.71240997
1959-07-07,44.9048233
1959-07-08,43.37161636
1959-07-09,43.64089203
1959-07-10,43.96125412
1959-07-11,46.07363129
1959-07-12,42.00123978
1959-07-13,41.60784149
1959-07-14,45.29842377
1959-07-15,43.81046295
1959-07-16,43.10204697
1959-07-17,44.84514618
1959-07-18,46.86267853
1959-07-19,46.39877319
1959-07-20,47.41737366
1959-07-21,46.69879532
1959-07-22,44.68045044
1959-07-23,47.42657852
1959-07-24,42.73655319
1959-07-25,42.44827271
1959-07-26,42.60998917
1959-07-27,47.85146713
1959-07-28,46.14880371
1959-07-29,47.19361496
1959-07-30,46.18908691
1959-07-31,44.79878616
1959-08-01,48.05277252
1959-08-02,44.43579483
1959-08-03,42.43136978
1959-08-04,47.466804499999995
1959-08-05,56.88063812
1959-08-06,45.66219711
1959-08-07,40.67528915
1959-08-08,44.33426285
1959-08-09,43.2677803
1959-08-10,44.66856384
1959-08-11,46.91975021
1959-08-12,46.7453804
1959-08-13,45.63420105
1959-08-14,42.46216965
1959-08-15,43.20967865
1959-08-16,46.61796951
1959-08-17,45.77487564
1959-08-18,46.34658051
1959-08-19,47.57884598
1959-08-20,47.34234238
1959-08-21,47.58231735
1959-08-22,45.55012894
1959-08-23,45.52344513
1959-08-24,46.98358154
1959-08-25,50.82463455
1959-08-26,50.92828751
1959-08-27,45.70895004
1959-08-28,43.93939972
1959-08-29,46.18764114
1959-08-30,46.13048935
1959-08-31,46.03849792
1959-09-01,45.11315155
1959-09-02,60.8680954
1959-09-03,44.21434021
1959-09-04,44.88092422
1959-09-05,45.21434784
1959-09-06,46.46492386
1959-09-07,44.77445984
1959-09-08,46.26408768
1959-09-09,48.15708923
1959-09-10,45.88994217
1959-09-11,46.27061844
1959-09-12,47.41184235
1959-09-13,46.41095352
1959-09-14,42.54911041
1959-09-15,44.87221146
1959-09-16,49.19478226
1959-09-17,49.4455719
1959-09-18,49.09278107
1959-09-19,49.72221756
1959-09-20,46.49507141
1959-09-21,51.69483185
1959-09-22,55.26729965
1959-09-23,64.99436569
1959-09-24,50.73141098
1959-09-25,49.77542114
1959-09-26,48.15692139
1959-09-27,45.77378082
1959-09-28,48.39996719
1959-09-29,48.93661499
1959-09-30,56.92874527
1959-10-01,50.09723663
1959-10-02,48.27012253
1959-10-03,49.49491882
1959-10-04,50.0079422
1959-10-05,46.79228592
1959-10-06,46.36298370000001
1959-10-07,50.34599686
1959-10-08,48.057567600000006
1959-10-09,50.949855799999995
1959-10-10,50.27220154
1959-10-11,46.89135742
1959-10-12,45.70306396
1959-10-13,57.81024551
1959-10-14,46.68748856
1959-10-15,47.29846573
1959-10-16,48.59725571
1959-10-17,48.46261978
1959-10-18,47.02086639
1959-10-19,46.41709518
1959-10-20,44.59170532
1959-10-21,42.839206700000005
1959-10-22,46.36551666
1959-10-23,47.13963699
1959-10-24,46.89797592
1959-10-25,46.50967789
1959-10-26,44.24007416
1959-10-27,44.31106949
1959-10-28,48.24230194
1959-10-29,45.95175171
1959-10-30,47.55490494
1959-10-31,46.4523468
1959-11-01,50.95098114
1959-11-02,50.2253685
1959-11-03,47.19249725
1959-11-04,45.24204254
1959-11-05,47.87311935
1959-11-06,48.28115082
1959-11-07,47.86940002
1959-11-08,45.26186371
1959-11-09,46.68188858
1959-11-10,42.8539238
1959-11-11,44.69081879
1959-11-12,46.25647354
1959-11-13,43.88380051
1959-11-14,42.22648239
1959-11-15,45.927169799999994
1959-11-16,43.93720245
1959-11-17,43.41872406
1959-11-18,45.7302475
1959-11-19,45.29456329
1959-11-20,49.00445938
1959-11-21,47.78470993
1959-11-22,43.872612
1959-11-23,49.92900848
1959-11-24,47.41988373
1959-11-25,45.42309952
1959-11-26,47.59034348
1959-11-27,46.34560013
1959-11-28,47.68452454
1959-11-29,45.23472595
1959-11-30,46.47424698
1959-12-01,46.77173615
1959-12-02,44.17119217
1959-12-03,45.81968689
1959-12-04,44.08809662
1959-12-05,43.79026413
1959-12-06,46.22332382
1959-12-07,47.8157959
1959-12-08,44.63474274
1959-12-09,47.86117172
1959-12-10,47.01218414
1959-12-11,48.84128952
1959-12-12,46.76261902
1959-12-13,49.24423981
1959-12-14,48.57386398
1959-12-15,44.20155334
1959-12-16,47.72087097
1959-12-17,46.88356781
1959-12-18,46.32366943
1959-12-19,44.66548157
1959-12-20,42.75669479
1959-12-21,46.57778168
1959-12-22,44.33998108
1959-12-23,43.9393158
1959-12-24,46.77968979
1959-12-25,46.25801468
1959-12-26,42.06787872
1959-12-27,44.40752411
1959-12-28,41.42316818
1959-12-29,47.00778961
1959-12-30,46.63644028
1959-12-31,43.01176071
